"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/smill/Desktop/1dv610/L2/src/utils/ColorVariantRequest.js", "JavaScript", 25, 38, 6, 69
"/Users/smill/Desktop/1dv610/L2/src/utils/WcagCheck.js", "JavaScript", 0, 8, 0, 8
"/Users/smill/Desktop/1dv610/L2/src/utils/WcagColorService.js", "JavaScript", 38, 23, 8, 69
"Total", "-", 63, 69, 14, 146
